entrez	target gene	target probe	source probe	Score
69957	Cdc16	1425554_a_at	1418127_a_at	0.590601
56280	Mrpl37	1423764_s_at	1418127_a_at	0.590599
75710	Rbm12	1416928_at	1418127_a_at	0.590430
230376	Haus6	1455488_at	1418127_a_at	0.590345
26922	Mecr	1417098_s_at	1418127_a_at	0.590314
66403	Asf1a	1423511_at	1418127_a_at	0.590036
76219	Arxes1	1451175_at	1418127_a_at	0.589936
76687	Spcs3	1451175_at	1418127_a_at	0.589936
76976	Arxes2	1451175_at	1418127_a_at	0.589936
83703	Dbr1	1451641_at	1418127_a_at	0.589878
67683	Pbdc1	1417921_at	1418127_a_at	0.589830
381802	Tsen2	1435118_at	1418127_a_at	0.589761
12034	Phb2	1455713_x_at	1418127_a_at	0.589468
381903	Alg8	1455887_at	1418127_a_at	0.589382
52530	Nhp2	1416605_at	1418127_a_at	0.589213
18226	Nup62	1438917_x_at	1418127_a_at	0.589141
22294	Uxt	1418986_a_at	1418127_a_at	0.588999
110809	Srsf1	1428100_at	1418127_a_at	0.588976
19361	Rad51	1418281_at	1418127_a_at	0.588796
23980	Pebp1	1438649_x_at	1418127_a_at	0.588759
55982	Paxip1	1423303_at	1418127_a_at	0.588663
12468	Cct7	1415816_at	1418127_a_at	0.588606
68197	Ndufc2	1455036_s_at	1418127_a_at	0.588519
54124	Cks1b	1416698_a_at	1418127_a_at	0.588446
445007	Nup85	1416073_a_at	1418127_a_at	0.588314
104444	Rexo2	1451259_at	1418127_a_at	0.588250
104146	Cgct	1452830_s_at	1418127_a_at	0.587914
69719	Cad	1452830_s_at	1418127_a_at	0.587914
102920	Cenpi	1436723_at	1418127_a_at	0.587298
16430	Stt3a	1450841_at	1418127_a_at	0.587281
60411	Cenpk	1418264_at	1418127_a_at	0.587150
666422	Gm8096	1426657_s_at	1418127_a_at	0.586844
109054	Pfdn4	1454888_at	1418127_a_at	0.586784
66368	Rtca	1424095_at	1418127_a_at	0.586144
15182	Hdac2	1445684_s_at	1418127_a_at	0.586030
77766	Elp4	1448535_at	1418127_a_at	0.585763
68153	Gtf2e2	1448884_at	1418127_a_at	0.585530
73694	Ndufaf7	1427904_s_at	1418127_a_at	0.584920
50927	Nasp	1416042_s_at	1418127_a_at	0.584505
26440	Psma1	1415695_at	1418127_a_at	0.584088
78653	Bola3	1433970_at	1418127_a_at	0.583732
16319	Incenp	1439436_x_at	1418127_a_at	0.583565
72151	Rfc5	1452917_at	1418127_a_at	0.583440
24015	Abce1	1416015_s_at	1418127_a_at	0.583386
73327	Pradc1	1429122_a_at	1418127_a_at	0.583279
66414	Ndufa12	1433513_x_at	1418127_a_at	0.583257
67549	Gpr89	1424696_at	1418127_a_at	0.583232
13361	Dhfr	1419172_at	1418127_a_at	0.583166
54375	Azin1	1450714_at	1418127_a_at	0.583080
66926	Trmt6	1428754_at	1418127_a_at	0.582934
52033	Pbk	1448627_s_at	1418127_a_at	0.582843
66586	Crls1	1429737_a_at	1418127_a_at	0.582718
66525	Timm50	1455456_a_at	1418127_a_at	0.582691
76044	Ncapg2	1417926_at	1418127_a_at	0.582629
56282	Mrpl12	1452048_at	1418127_a_at	0.582022
212377	Mms22l	1427147_at	1418127_a_at	0.581674
20638	Snrpb	1437193_s_at	1418127_a_at	0.581671
20656	Sod2	1454976_at	1418127_a_at	0.581580
67236	Cinp	1425830_a_at	1418127_a_at	0.581493
66442	Spc25	1424118_a_at	1418127_a_at	0.581392
218885	Oxnad1	1426375_s_at	1418127_a_at	0.581356
67030	Fancl	1423624_at	1418127_a_at	0.581350
17222	Anapc1	1415680_at	1418127_a_at	0.581291
58184	Rqcd1	1450887_at	1418127_a_at	0.580945
100336	Ppp1r8	1435821_s_at	1418127_a_at	0.580904
72096	Mettl10	1428582_at	1418127_a_at	0.580839
223499	Dcaf13	1435442_at	1418127_a_at	0.580804
67618	Aasdhppt	1430515_s_at	1418127_a_at	0.580608
18969	Pola2	1448369_at	1418127_a_at	0.580544
66258	Mrps17	1453728_a_at	1418127_a_at	0.580435
59032	Ppp2r3c	1417478_a_at	1418127_a_at	0.580226
227059	Slc39a10	1433751_at	1418127_a_at	0.580060
54632	Ftsj1	1417099_at	1418127_a_at	0.579789
69956	Ptcd3	1428090_at	1418127_a_at	0.579514
18973	Pole	1448650_a_at	1418127_a_at	0.579502
67223	Rrp15	1417096_at	1418127_a_at	0.579452
380773	Slirp	1428554_a_at	1418127_a_at	0.579290
98828	Cdc123	1416763_at	1418127_a_at	0.579263
67270	Mrpl42	1418439_at	1418127_a_at	0.579032
70385	Spdl1	1424971_at	1418127_a_at	0.578783
20021	Polr2c	1416341_at	1418127_a_at	0.578495
27354	Nbn	1448746_at	1418127_a_at	0.578462
20382	Srsf2	1427504_s_at	1418127_a_at	0.578352
73212	3110082I17Rik	1453007_at	1418127_a_at	0.578328
12447	Ccne1	1416492_at	1418127_a_at	0.578226
66230	Mrps28	1452585_at	1418127_a_at	0.577979
11637	Ak2	1448451_at	1418127_a_at	0.577617
14113	Fbl	1416685_s_at	1418127_a_at	0.576789
56086	Set	1426854_a_at	1418127_a_at	0.576598
67678	Lsm3	1448536_at	1418127_a_at	0.576413
72171	Shq1	1428927_at	1418127_a_at	0.576308
217737	Ahsa1	1424147_at	1418127_a_at	0.576084
75939	4930579G24Rik	1429364_at	1418127_a_at	0.575983
12301	Cacybp	1452047_at	1418127_a_at	0.575837
11640	Akap1	1449019_at	1418127_a_at	0.575738
228889	Ddx27	1424161_at	1418127_a_at	0.575179
66622	Ubr7	1454616_at	1418127_a_at	0.575097
68537	Mrpl13	1460354_a_at	1418127_a_at	0.575041
27393	Mrpl39	1417966_at	1418127_a_at	0.574782
210009	Mtrr	1452110_at	1418127_a_at	0.574134
20529	Slc31a1	1433750_at	1418127_a_at	0.573984
381306	BC055324	1434365_a_at	1418127_a_at	0.573851
272551	Gins2	1428713_s_at	1418127_a_at	0.573507
