entrez	target gene	target probe	source probe	Score
13494	Drg1	1447752_x_at	1418127_a_at	0.520940
71365	Pdss2	1444085_at	1418127_a_at	0.520841
23881	G3bp2	1415697_at	1418127_a_at	0.520702
67678	Lsm3	1448536_at	1418127_a_at	0.520653
66585	Snrnp40	1428264_at	1418127_a_at	0.520644
103136	Pwp1	1417873_at	1418127_a_at	0.520478
11765	Ap1g1	1460712_s_at	1418127_a_at	0.520417
77766	Elp4	1448535_at	1418127_a_at	0.520410
68043	N6amt2	1449072_a_at	1418127_a_at	0.520316
109065	Dnaaf2	1454968_at	1418127_a_at	0.520286
73666	Thoc3	1423971_at	1418127_a_at	0.520079
77951	Cyp20a1	1435616_at	1418127_a_at	0.520021
66578	Mis18a	1453314_x_at	1418127_a_at	0.519704
67053	Rpp14	1419460_at	1418127_a_at	0.519694
66467	Gtf2h5	1428906_at	1418127_a_at	0.519607
74600	Mrpl47	1429054_at	1418127_a_at	0.519512
170823	Glmn	1418839_at	1418127_a_at	0.519376
66164	Nip7	1448480_at	1418127_a_at	0.519301
12461	Cct2	1433534_a_at	1418127_a_at	0.519285
70385	Spdl1	1424971_at	1418127_a_at	0.519072
22200	Uba3	1417202_s_at	1418127_a_at	0.518690
15526	Hspa9	1418503_at	1418127_a_at	0.518601
56086	Set	1426854_a_at	1418127_a_at	0.518548
109077	Ints5	1434011_a_at	1418127_a_at	0.518461
14885	Gtf2h4	1437163_x_at	1418127_a_at	0.518454
14155	Fem1b	1418324_at	1418127_a_at	0.518375
69035	Zdhhc3	1423646_at	1418127_a_at	0.517931
11677	Akr1b3	1437133_x_at	1418127_a_at	0.517927
626009	Gm6644	1437133_x_at	1418127_a_at	0.517927
66161	Pop4	1448419_at	1418127_a_at	0.517890
78523	Mrpl9	1437749_s_at	1418127_a_at	0.517521
244329	Mcph1	1429911_at	1418127_a_at	0.517508
18100	Mrpl40	1448849_at	1418127_a_at	0.517492
12729	Clns1a	1436935_x_at	1418127_a_at	0.517383
12465	Cct5	1417258_at	1418127_a_at	0.517184
237877	Atad5	1435597_at	1418127_a_at	0.516958
98488	Gtf3c3	1454765_at	1418127_a_at	0.516587
67429	Nudcd1	1433547_s_at	1418127_a_at	0.516426
18408	Slc25a15	1420967_at	1418127_a_at	0.516125
73694	Ndufaf7	1427904_s_at	1418127_a_at	0.515989
15528	Hspe1	1450668_s_at	1418127_a_at	0.515989
224171	C330027C09Rik	1449699_s_at	1418127_a_at	0.515948
69878	Snrpf	1428672_at	1418127_a_at	0.515787
67115	Rpl14	1422128_at	1418127_a_at	0.515599
68653	Samm50	1455800_x_at	1418127_a_at	0.515468
