GeneSymbol,proB_CLP_BM,proB_FrA_BM,proB_FrBC_BM,preB_FrC_BM,preB_FrD_BM,B_FrE_BM,B_FrF_BM,B_Fo_Sp,preT_ETP_Th,preT_DN2_Th,preT_DN3A_Th,preT_DN3B_Th,T_DN4_Th,T_DP_Th,T_4SP24._Th,T_8SP24._Th,T_4Nve_Sp,T_8Nve_Sp
NR3C1,571.393,500.421,575.681,644.746,562.738,675.041,635.355,855.523,292.746,336.211,766.236,590.752,587.164,539.328,483.605,371.915,550.269,322.556
GM10008,30.8521,38.1566,33.551,36.4938,52.965,85.5352,110.559,157.654,28.1077,27.843,114.07,86.8262,63.3552,81.051,50.1752,37.2206,70.927,44.3799
YIPF5,276.946,228.164,288.434,367.08,281.345,261.491,246.471,345.284,415.689,492.46,393.519,429.334,433.359,193.453,297.442,301.664,494.522,223.742
PRELID2,31.9559,31.3522,30.0706,31.6975,24.905,24.341,23.9774,23.5248,36.3072,84.8961,43.57,44.8622,31.4978,20.224,27.3369,38.9875,21.9223,30.1801
GRXCR2,59.2191,74.2654,60.4073,59.939,60.3107,62.5287,62.6177,59.2131,59.0544,61.7073,65.7395,65.5828,63.4127,95.6076,59.8906,65.9191,63.0834,70.234
PLAC8L1,27.4529,29.4948,23.0263,24.229,27.491,32.4082,32.6413,25.9424,24.9217,25.1094,28.3455,26.777,28.2848,33.261,28.0091,25.1571,25.1352,29.0784
LARS,434.982,344.131,421.771,546.836,371.123,328.018,352.307,419.294,388.261,400.476,265.836,433.611,315.38,164.34,379.567,406.81,331.648,283.213
GPR151,47.1469,41.393,38.2454,39.4631,39.8204,41.9157,51.7552,63.2757,38.3904,45.4121,43.7287,42.1514,43.7903,52.3373,47.3147,46.4887,43.5884,56.1618
PPP2R2B,31.5737,37.7299,29.8831,31.582,36.6323,35.403,35.3976,34.4005,32.1959,34.1333,34.1266,34.6883,36.8291,51.0186,32.3064,34.9685,37.2427,40.3305
DPYSL3,32.8206,37.8003,34.9285,34.0124,37.9376,38.1562,43.2882,37.2942,49.8503,34.4375,39.5683,36.3457,37.9526,56.9625,41.1498,43.5496,37.4562,53.1034
EIF3J,504.17,390.568,453.333,574.726,267.048,253.003,283.456,479.421,525.499,540.525,268.149,574.844,460.324,176.147,348.324,373.347,419.177,204.407
JAKMIP2,19.2333,24.1926,23.4516,21.003,24.9867,24.3834,21.2927,22.5173,20.8848,21.3286,21.6083,22.146,22.026,35.0951,22.9896,22.8089,20.539,26.8792
SPINK3,11.3511,13.3824,15.1754,12.8102,12.7828,12.8262,13.5723,12.1255,11.4071,11.1179,10.8367,11.2194,12.6899,17.3657,14.3097,12.3924,11.5165,20.7031
GM94,46.454,50.7334,43.4105,43.2467,49.6194,48.5369,51.6706,48.394,51.3518,52.8461,54.0989,53.4005,50.498,58.6302,54.1472,48.4271,50.0723,57.5874
