"Genes","Curated_pathway","Database_ID","Database_pathway_name"
"PML","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"HERC2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"PRPF19","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"ANAPC1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2S","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2O","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2M","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2Q2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"MAP3K1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE4A","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"BRCA1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"MDM2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2K","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"KLHL9","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBR5","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE3A","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2R2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"RFWD2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"TRIM37","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"FBXW8","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2E3","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"ANAPC7","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"ANAPC5","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2QL1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"PIAS1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"SMURF1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"STUB1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2G2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"BTRC","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2G1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2I","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"SOCS1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2H","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2J2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"TRAF6","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"FBXW11","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2L3","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"NHLRC1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE2N","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"UBE4B","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"MGRN1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"RBX1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"DDB2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"NEDD4L","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"SOCS3","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"DDB1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"DET1","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"RNF7","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
"BIRC2","Protein degradation","KEGG:04120","Ubiquitin mediated proteolysis"
